Main_AA,Sub_AA,Rlab_PTSCwScore
Leucine,Isoleucine,APT_F:2|ICP_F:2|ECP_F:1|MEP_F:1
Leucine,Leucine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Leucine,Lysine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m4
Leucine,Methionine,APT_F:2|ICP_F:2|ECP_F:1|MEP_F:1
Leucine,Phenylalanine,APT_N:0|ICP_F:1|ECP_N:0|MEP_F:1
Leucine,Proline,APT_DF:m3|ICP_DF:m2|ECP_N:0|MEP_DF:m1
Leucine,Serine,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_DF:m2
Leucine,Threonine,APT_DF:m1|ICP_DF:m1|ECP_N:0|MEP_DF:m1
Leucine,Tryptophan,APT_DF:m2|ICP_N:0|ECP_DF:m2|MEP_DF:m2
Leucine,Tyrosine,APT_DF:m1|ICP_N:0|ECP_DF:m1|MEP_DF:m3
Leucine,Valine,APT_F:1|ICP_F:1|ECP_F:1|MEP_N:0
Lysine,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Lysine,Arginine,APT_F:2|ICP_F:1|ECP_F:1|MEP_F:9
Lysine,Asparagine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:5
Lysine,Aspartic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:3
Lysine,Cysteine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m3
Lysine,Glutamine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:6
Lysine,Glutamic acid,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:1
Lysine,Glycine,APT_DF:m2|ICP_N:0|ECP_DF:m1|MEP_DF:m1
Lysine,Histidine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:4
Lysine,Isoleucine,APT_DF:m3|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Lysine,Leucine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m4
Lysine,Lysine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:10
Lysine,Methionine,APT_DF:m1|ICP_N:0|ECP_DF:m1|MEP_DF:m1
Lysine,Phenylalanine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m5
Lysine,Proline,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m4
Lysine,Serine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m1
Lysine,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
